tanggal,judul,kategori,link,bulan,tahun
18 Februari 2026,Guru Besar Unesa Temukan BAL dari Pangan Lokal sebagai Kandidat Antihipertensi dan Obat Diabetes Melitus,Riset & Inovasi,https://unesa.ac.id/guru-besar-unesa-temukan-bal-dari-pangan-lokal-sebagai-kandidat-antihipertensi-dan-obat-diabetes-melitus/,2,2026
18 Februari 2026,Unik! DWP Unesa Gelorakan Semangat Hidup Sehat melalui Langkah Dansa Berdaster,Akademik & Umum,https://unesa.ac.id/unik-dwp-unesa-gelorakan-semangat-hidup-sehat-melalui-langkah-dansa-berdaster/,2,2026
18 Februari 2026,"Kembali Dipercaya Menahkodai PASI Jatim, Cak Hasan Siapkan Blueprint Prestasi Olahraga Jatim menuju Pentas Global",Prestasi & Penghargaan,https://unesa.ac.id/kembali-dipercaya-menahkodai-pasi-jatim-cak-hasan-siapkan-blueprint-prestasi-olahraga-jatim-menuju-pentas-global/,2,2026
15 Februari 2026,"Jelang Praktik Mengajar, Mahasiswa PPG Perkuat Fisik, Karakter dan Disiplin Lewat Senam Kebugaran",Kemahasiswaan,https://unesa.ac.id/jelang-praktik-mengajar-mahasiswa-ppg-perkuat-fisik-karakter-dan-disiplin-lewat-senam-kebugaran/,2,2026
15 Februari 2026,"Geliatkan Ekonomi Sekitar, Unesa Kembali Hadirkan Festival ‘Durenan Rek’",Akademik & Umum,https://unesa.ac.id/geliatkan-ekonomi-sekitar-unesa-kembali-hadirkan-festival-durenan-rek/,2,2026
14 Februari 2026,"Jembatan Kolaborasi, Unesa FC Jamu TNH Solo dalam Laga Bertajuk Harmoni Match",Kerjasama & Internasional,https://unesa.ac.id/jembatan-kolaborasi-unesa-fc-jamu-tnh-solo-dalam-laga-bertajuk-harmoni-match/,2,2026
14 Februari 2026,Bambang DH Lantik Pengurus Daerah IKA Unesa: Tegaskan Komitmen Alumni untuk Almamater dan Masyarakat,Pengabdian Masyarakat,https://unesa.ac.id/bambang-dh-lantik-pengurus-daerah-ika-unesa-tegaskan-komitmen-alumni-untuk-almamater-dan-masyarakat/,2,2026
14 Februari 2026,"Sosialisasi Beasiswa Studi di Prancis, Unesa Siap Dukung Mahasiswa—Alumni Akses Kuliah ke Luar Negeri",Kemahasiswaan,https://unesa.ac.id/sosialisasi-beasiswa-studi-di-prancis-unesa-siap-dukung-mahasiswaalumni-akses-kuliah-ke-luar-negeri/,2,2026
13 Februari 2026,"Padukan Seni dan Kuliner, DWP Unesa Gelar Workshop Pembuatan Bolu Lukis",Akademik & Umum,https://unesa.ac.id/padukan-seni-dan-kuliner-dwp-unesa-gelar-workshop-pembuatan-bolu-lukis/,2,2026
13 Februari 2026,Workshop Unesa—Belmawa Bahas Tata Kelola dan Pengembangan Prodi Menjawab Kebutuhan Industri dan Masyarakat,Pengabdian Masyarakat,https://unesa.ac.id/workshop-unesabelmawa-bahas-tata-kelola-dan-pengembangan-prodi-menjawab-kebutuhan-industri-dan-masyarakat/,2,2026
13 Februari 2026,"Sambut Tahun Baru Imlek, Confucius Institute Unesa Pererat Harmoni Budaya Berbasis Kreativitas Bersama Mitra",Akademik & Umum,https://unesa.ac.id/sambut-tahun-baru-imlek-confucius-institute-unesa-pererat-harmoni-budaya-berbasis-kreativitas-bersama-mitra/,2,2026
12 Februari 2026,"Wujudkan Asta Cita, Unesa Jadi Tuan Rumah Launching Integrasi Kurikulum Anti Narkoba",Akademik & Umum,https://unesa.ac.id/wujudkan-asta-cita-unesa-jadi-tuan-rumah-launching-integrasi-kurikulum-anti-narkoba/,2,2026
12 Februari 2026,"Terus Bertransformasi, Unesa Resmikan Ikon Kampus dan Fasilitas Baru untuk Civitas",Kemahasiswaan,https://unesa.ac.id/terus-bertransformasi-unesa-resmikan-ikon-kampus-dan-fasilitas-baru-untuk-civitas/,2,2026
11 Februari 2026,"Unesa Kukuhkan 1.387 Wisudawan, Rektor Berpesan Agar Lulusan Tidak Berhenti Belajar dan Terus Meningkatkan Kapasitas",Kemahasiswaan,https://unesa.ac.id/unesa-kukuhkan-1387-wisudawan-rektor-berpesan-agar-lulusan-tidak-berhenti-belajar-dan-terus-meningkatkan-kapasitas/,2,2026
